id,sheep.yr,age,surv,wt,wtt1,rec,rec1.wt,rec2.wt,mean.off.mass,pop.size
422,1988,10,0,22.2,NA,0,NA,NA,NA,457
423,1986,8,1,NA,NA,0,NA,NA,NA,211
423,1987,9,1,NA,NA,0,NA,NA,NA,331
423,1988,10,0,NA,NA,0,NA,NA,NA,457
424,1986,8,1,NA,26.5,1,16.5,NA,16.5,211
424,1987,9,1,26.5,NA,1,NA,NA,NA,331
424,1988,10,0,NA,NA,0,NA,NA,NA,457
426,1986,8,1,NA,24.8,0,NA,NA,NA,211
426,1987,9,1,24.8,NA,0,NA,NA,NA,331
426,1988,10,0,NA,NA,0,NA,NA,NA,457
551,1986,7,1,NA,NA,0,NA,NA,NA,211
551,1987,8,1,NA,24.6,0,NA,NA,NA,331
551,1988,9,0,24.6,NA,0,NA,NA,NA,457
553,1986,7,1,NA,26.3,0,NA,NA,NA,211
553,1987,8,1,26.3,24.6,1,NA,NA,NA,331
553,1988,9,0,24.6,NA,0,NA,NA,NA,457
554,1986,7,1,NA,26,0,NA,NA,NA,211
554,1987,8,1,26,NA,0,NA,NA,NA,331
554,1988,9,0,NA,NA,0,NA,NA,NA,457
555,1986,7,1,23.8,23,0,NA,NA,NA,211
555,1987,8,1,23,21.8,1,15.8,NA,15.8,331
555,1988,9,0,21.8,NA,0,NA,NA,NA,457
557,1986,7,1,NA,26.5,1,16,NA,16,211
557,1987,8,1,26.5,NA,0,NA,NA,NA,331
557,1988,9,0,NA,NA,0,NA,NA,NA,457
560,1986,7,1,NA,26,2,11.8,12.2,12,211
560,1987,8,1,26,NA,1,NA,NA,NA,331
560,1988,9,0,NA,NA,0,NA,NA,NA,457
562,1986,7,1,NA,27,0,NA,NA,NA,211
562,1987,8,0,27,NA,0,NA,NA,NA,331
566,1986,7,0,NA,NA,0,NA,NA,NA,211
571,1986,7,1,NA,31,1,NA,NA,NA,211
571,1987,8,1,31,NA,2,NA,11.4,11.4,331
571,1988,9,0,NA,NA,0,NA,NA,NA,457
572,1986,7,1,26.5,26,0,NA,NA,NA,211
572,1987,8,1,26,NA,1,NA,NA,NA,331
572,1988,9,0,NA,NA,0,NA,NA,NA,457
573,1986,7,0,NA,NA,0,NA,NA,NA,211
574,1986,7,1,23.4,23,0,NA,NA,NA,211
574,1987,8,1,23,NA,1,NA,NA,NA,331
574,1988,9,1,NA,16,1,NA,NA,NA,457
574,1989,10,1,16,NA,0,NA,NA,NA,211
574,1990,11,1,NA,14.4,2,NA,NA,NA,290
574,1991,12,0,14.4,NA,0,NA,NA,NA,414
577,1986,7,1,NA,31,0,NA,NA,NA,211
577,1987,8,1,31,34.2,1,16.7,NA,16.7,331
577,1988,9,1,34.2,NA,0,NA,NA,NA,457
577,1989,10,1,NA,32.4,1,16.4,NA,16.4,211
577,1990,11,1,32.4,28.6,2,13.2,11.6,12.4,290
577,1991,12,1,28.6,27.8,1,11.1,NA,11.1,414
577,1992,13,1,27.8,28,2,10.1,10.6,10.35,321
577,1993,14,1,28,NA,0,NA,NA,NA,443
577,1994,15,0,NA,NA,0,NA,NA,NA,435
747,1986,6,1,NA,NA,0,NA,NA,NA,211
747,1987,7,1,NA,NA,1,16.8,NA,16.8,331
747,1988,8,1,NA,NA,0,NA,NA,NA,457
747,1989,9,1,NA,NA,0,NA,NA,NA,211
747,1990,10,1,NA,24.8,0,NA,NA,NA,290
747,1991,11,1,24.8,23.2,1,NA,NA,NA,414
747,1992,12,1,23.2,NA,1,NA,NA,NA,321
747,1993,13,1,NA,NA,0,NA,NA,NA,443
747,1994,14,1,NA,NA,0,NA,NA,NA,435
747,1995,15,1,NA,22.7,0,NA,NA,NA,357
747,1996,16,0,22.7,NA,0,NA,NA,NA,575
748,1986,6,1,NA,NA,1,NA,NA,NA,211
748,1987,7,1,NA,NA,0,NA,NA,NA,331
748,1988,8,0,NA,NA,0,NA,NA,NA,457
749,1986,6,1,NA,26.5,0,NA,NA,NA,211
749,1987,7,1,26.5,25.5,1,NA,NA,NA,331
749,1988,8,1,25.5,NA,1,NA,NA,NA,457
749,1989,9,1,NA,27,0,NA,NA,NA,211
749,1990,10,1,27,24.6,1,14.6,NA,14.6,290
749,1991,11,1,24.6,NA,0,NA,NA,NA,414
751,1986,6,1,NA,25.2,0,NA,NA,NA,211
751,1987,7,1,25.2,23.2,0,NA,NA,NA,331
751,1988,8,1,23.2,NA,1,NA,NA,NA,457
751,1989,9,1,NA,NA,1,NA,NA,NA,211
751,1990,10,0,NA,NA,0,NA,NA,NA,290
752,1986,6,1,NA,26.5,1,14.5,NA,14.5,211
752,1987,7,1,26.5,28,0,NA,NA,NA,331
752,1988,8,0,28,NA,0,NA,NA,NA,457
753,1986,6,1,NA,23,0,NA,NA,NA,211
753,1987,7,1,23,NA,1,18.3,NA,18.3,331
753,1988,8,0,NA,NA,0,NA,NA,NA,457
754,1986,6,1,NA,NA,0,NA,NA,NA,211
754,1987,7,1,NA,27,2,13.7,15.2,14.45,331
754,1988,8,0,27,NA,0,NA,NA,NA,457
755,1986,6,1,NA,NA,0,NA,NA,NA,211
755,1987,7,1,NA,NA,0,NA,NA,NA,331
755,1988,8,1,NA,17,1,NA,NA,NA,457
755,1989,9,1,17,24.4,1,15.8,NA,15.8,211
755,1990,10,1,24.4,21.7,1,14,NA,14,290
755,1991,11,0,21.7,NA,0,NA,NA,NA,414
841,1986,6,0,NA,NA,0,NA,NA,NA,211
898,1986,5,1,26.9,23.3,0,NA,NA,NA,211
898,1987,6,0,23.3,NA,0,NA,NA,NA,331
899,1986,5,1,NA,28.3,0,NA,NA,NA,211
899,1987,6,1,28.3,26,1,15,NA,15,331
899,1988,7,0,26,NA,0,NA,NA,NA,457
901,1986,5,1,NA,NA,1,NA,NA,NA,211
901,1987,6,1,NA,NA,1,18.6,NA,18.6,331
901,1988,7,0,NA,NA,0,NA,NA,NA,457
902,1986,5,1,NA,NA,0,NA,NA,NA,211
902,1987,6,1,NA,25,1,15.8,NA,15.8,331
902,1988,7,1,25,NA,0,NA,NA,NA,457
902,1989,8,1,NA,NA,0,NA,NA,NA,211
902,1990,9,1,NA,23.7,0,NA,NA,NA,290
902,1991,10,0,23.7,NA,0,NA,NA,NA,414
903,1986,5,1,NA,NA,0,NA,NA,NA,211
903,1987,6,1,NA,NA,0,NA,NA,NA,331
903,1988,7,0,NA,NA,0,NA,NA,NA,457
904,1986,5,1,NA,30.4,1,NA,NA,NA,211
904,1987,6,1,30.4,26,2,15.2,14,14.6,331
904,1988,7,1,26,20,0,NA,NA,NA,457
904,1989,8,1,20,NA,0,NA,NA,NA,211
904,1990,9,1,NA,26.6,1,15.3,NA,15.3,290
904,1991,10,0,26.6,NA,0,NA,NA,NA,414
906,1986,5,1,NA,23,0,NA,NA,NA,211
906,1987,6,1,23,21.4,1,13.2,NA,13.2,331
906,1988,7,1,21.4,NA,0,NA,NA,NA,457
906,1989,8,1,NA,23.2,0,NA,NA,NA,211
906,1990,9,1,23.2,21.6,2,12.6,13.2,12.9,290
906,1991,10,0,21.6,NA,0,NA,NA,NA,414
910,1986,5,1,NA,NA,0,NA,NA,NA,211
910,1987,6,1,NA,27.3,1,16.8,NA,16.8,331
910,1988,7,1,27.3,NA,0,NA,NA,NA,457
910,1989,8,1,NA,NA,0,NA,NA,NA,211
910,1990,9,1,NA,NA,1,NA,NA,NA,290
910,1991,10,1,NA,21.7,0,NA,NA,NA,414
910,1992,11,0,21.7,NA,0,NA,NA,NA,321
1038,1986,5,1,NA,NA,1,NA,NA,NA,211
1038,1987,6,1,NA,NA,0,NA,NA,NA,331
1038,1988,7,1,NA,NA,0,NA,NA,NA,457
1038,1989,8,1,NA,NA,0,NA,NA,NA,211
1072,1986,4,1,22.5,23.2,1,17.4,NA,17.4,211
1072,1987,5,1,23.2,22.4,1,16.2,NA,16.2,331
1072,1988,6,1,22.4,21.3,1,17.2,NA,17.2,457
1072,1989,7,1,21.3,22.4,0,NA,NA,NA,211
1072,1990,8,1,22.4,21.8,0,NA,NA,NA,290
1072,1991,9,1,21.8,20.6,0,NA,NA,NA,414
1072,1992,10,1,20.6,NA,0,NA,NA,NA,321
1072,1993,11,0,NA,NA,1,14.1,NA,14.1,443
1073,1986,4,1,27.9,29,1,16.4,NA,16.4,211
1073,1987,5,1,29,NA,1,NA,NA,NA,331
1073,1988,6,1,NA,NA,0,NA,NA,NA,457
1073,1989,7,1,NA,NA,1,NA,NA,NA,211
1073,1990,8,1,NA,NA,1,NA,NA,NA,290
1073,1991,9,1,NA,NA,2,NA,NA,NA,414
1073,1992,10,1,NA,NA,1,NA,NA,NA,321
1073,1993,11,0,NA,NA,0,NA,NA,NA,443
1076,1986,4,1,22.9,22.6,0,NA,NA,NA,211
1076,1987,5,1,22.6,21.6,0,NA,NA,NA,331
1076,1988,6,0,21.6,NA,0,NA,NA,NA,457
1077,1986,4,1,NA,NA,0,NA,NA,NA,211
1077,1987,5,1,NA,NA,0,NA,NA,NA,331
1077,1988,6,1,NA,NA,0,NA,NA,NA,457
1077,1989,7,1,NA,30.6,1,14.9,NA,14.9,211
1077,1990,8,1,30.6,29,0,NA,NA,NA,290
1077,1991,9,1,29,28.8,0,NA,NA,NA,414
1077,1992,10,1,28.8,29.4,0,NA,NA,NA,321
1077,1993,11,1,29.4,NA,0,NA,NA,NA,443
1077,1994,12,1,NA,NA,0,NA,NA,NA,435
1077,1995,13,1,NA,27.4,0,NA,NA,NA,357
1077,1996,14,1,27.4,26,0,NA,NA,NA,575
1078,1986,4,1,NA,NA,0,NA,NA,NA,211
1078,1987,5,1,NA,NA,0,NA,NA,NA,331
1078,1988,6,1,NA,NA,1,NA,NA,NA,457
1078,1989,7,1,NA,NA,1,16.5,NA,16.5,211
1078,1990,8,1,NA,NA,0,NA,NA,NA,290
1078,1991,9,0,NA,NA,0,NA,NA,NA,414
1079,1986,4,1,NA,24,1,15.5,NA,15.5,211
1079,1987,5,1,24,24.9,1,18.2,NA,18.2,331
1079,1988,6,1,24.9,17.8,1,11,NA,11,457
1079,1989,7,1,17.8,24.4,0,NA,NA,NA,211
1079,1990,8,1,24.4,22.3,1,16,NA,16,290
1079,1991,9,1,22.3,22.9,1,NA,NA,NA,414
1079,1992,10,1,22.9,NA,2,11.2,NA,11.2,321
1079,1993,11,1,NA,NA,0,NA,NA,NA,443
1079,1994,12,1,NA,NA,0,NA,NA,NA,435
1079,1995,13,1,NA,16.4,0,NA,NA,NA,357
1079,1996,14,0,16.4,NA,0,NA,NA,NA,575
1080,1986,4,1,NA,22,1,13,NA,13,211
1080,1987,5,1,22,21.8,0,NA,NA,NA,331
1080,1988,6,1,21.8,NA,1,NA,NA,NA,457
1080,1989,7,1,NA,23,0,NA,NA,NA,211
1080,1990,8,1,23,22.8,0,NA,NA,NA,290
1080,1991,9,0,22.8,NA,1,12.6,NA,12.6,414
1081,1986,4,0,NA,NA,2,11.3,10.8,11.05,211
1082,1986,4,1,NA,24.8,0,NA,NA,NA,211
1082,1987,5,1,24.8,28.9,0,NA,NA,NA,331
1082,1988,6,1,28.9,25.6,2,10.2,11.2,10.7,457
1082,1989,7,1,25.6,25.5,1,14,NA,14,211
1082,1990,8,1,25.5,NA,1,NA,NA,NA,290
1082,1991,9,0,NA,NA,0,NA,NA,NA,414
1083,1986,4,1,NA,NA,1,NA,NA,NA,211
1083,1987,5,1,NA,NA,1,18.2,NA,18.2,331
1083,1988,6,1,NA,NA,1,NA,NA,NA,457
1083,1989,7,1,NA,23.4,1,14.2,NA,14.2,211
1083,1990,8,1,23.4,NA,1,11.6,NA,11.6,290
1083,1991,9,0,NA,NA,1,NA,NA,NA,414
1089,1986,4,1,24.3,26,1,17.5,NA,17.5,211
1089,1987,5,1,26,NA,0,NA,NA,NA,331
1089,1988,6,1,NA,NA,0,NA,NA,NA,457
1089,1989,7,1,NA,NA,0,NA,NA,NA,211
1089,1990,8,1,NA,NA,0,NA,NA,NA,290
1089,1991,9,1,NA,18,0,NA,NA,NA,414
1089,1992,10,0,18,NA,0,NA,NA,NA,321
1090,1986,4,1,NA,29.5,1,13,NA,13,211
1090,1987,5,1,29.5,28.8,1,12.2,NA,12.2,331
1090,1988,6,1,28.8,26.2,1,11.4,NA,11.4,457
1090,1989,7,1,26.2,NA,1,NA,NA,NA,211
1090,1990,8,1,NA,30.6,2,11.4,13.2,12.3,290
1090,1991,9,0,30.6,NA,1,NA,NA,NA,414
1094,1986,4,1,NA,25.3,1,14.5,NA,14.5,211
1094,1987,5,1,25.3,NA,0,NA,NA,NA,331
1094,1988,6,1,NA,NA,1,NA,NA,NA,457
1094,1989,7,1,NA,19.8,0,NA,NA,NA,211
1094,1990,8,0,19.8,NA,0,NA,NA,NA,290
1095,1986,4,1,NA,NA,1,NA,NA,NA,211
1095,1987,5,1,NA,NA,1,18.4,NA,18.4,331
1095,1988,6,1,NA,NA,0,NA,NA,NA,457
1095,1989,7,1,NA,NA,2,NA,NA,NA,211
1095,1990,8,1,NA,25.4,0,NA,NA,NA,290
1095,1991,9,0,25.4,NA,0,NA,NA,NA,414
1096,1986,4,1,24.5,NA,1,NA,NA,NA,211
1096,1987,5,1,NA,NA,0,NA,NA,NA,331
1096,1988,6,1,NA,NA,0,NA,NA,NA,457
1097,1986,4,1,NA,NA,1,NA,NA,NA,211
1097,1987,5,1,NA,NA,0,NA,NA,NA,331
1097,1988,6,1,NA,NA,0,NA,NA,NA,457
1097,1989,7,1,NA,NA,0,NA,NA,NA,211
1097,1990,8,1,NA,25.1,0,NA,NA,NA,290
1097,1991,9,1,25.1,24.2,1,14.1,NA,14.1,414
1097,1992,10,1,24.2,NA,1,NA,NA,NA,321
1097,1993,11,1,NA,NA,0,NA,NA,NA,443
1097,1994,12,0,NA,NA,0,NA,NA,NA,435
1098,1986,4,1,NA,24.8,1,16,NA,16,211
1098,1987,5,1,24.8,NA,0,NA,NA,NA,331
1098,1988,6,1,NA,NA,1,NA,NA,NA,457
1098,1989,7,1,NA,NA,1,NA,NA,NA,211
1098,1990,8,1,NA,24.8,0,NA,NA,NA,290
1098,1991,9,1,24.8,23.6,0,NA,NA,NA,414
1098,1992,10,1,23.6,NA,1,NA,NA,NA,321
1098,1993,11,0,NA,NA,0,NA,NA,NA,443
1100,1986,4,1,21.6,NA,0,NA,NA,NA,211
1100,1987,5,1,NA,NA,0,NA,NA,NA,331
1100,1988,6,1,NA,NA,0,NA,NA,NA,457
1100,1989,7,1,NA,NA,0,NA,NA,NA,211
1100,1990,8,1,NA,21.1,0,NA,NA,NA,290
1100,1991,9,0,21.1,NA,0,NA,NA,NA,414
1101,1986,4,1,NA,28,1,17,NA,17,211
1101,1987,5,1,28,NA,0,NA,NA,NA,331
1101,1988,6,1,NA,NA,0,NA,NA,NA,457
1101,1989,7,1,NA,NA,0,NA,NA,NA,211
1101,1990,8,1,NA,27,1,14.7,NA,14.7,290
1101,1991,9,1,27,NA,0,NA,NA,NA,414
1101,1992,10,1,NA,NA,2,NA,NA,NA,321
1101,1993,11,0,NA,NA,0,NA,NA,NA,443
1102,1986,4,1,NA,22.5,0,NA,NA,NA,211
1102,1987,5,1,22.5,20.7,1,16.2,NA,16.2,331
1102,1988,6,0,20.7,NA,0,NA,NA,NA,457
1103,1986,4,NA,NA,NA,0,NA,NA,NA,211
1103,1987,5,1,NA,NA,0,NA,NA,NA,331
1103,1988,6,1,NA,NA,1,NA,NA,NA,457
1103,1989,7,1,NA,NA,0,NA,NA,NA,211
1103,1990,8,1,NA,NA,0,NA,NA,NA,290
1103,1991,9,1,NA,NA,0,NA,NA,NA,414
1103,1992,10,1,NA,NA,2,NA,NA,NA,321
1103,1993,11,1,NA,NA,0,NA,NA,NA,443
